,player_id,batting_form_IT20,batting_form_MDM,batting_form_Test,batting_form_ODM,batting_form_ODI,batting_form_T20,Adaptability_Score,batting_consistency_IT20,batting_consistency_MDM,batting_consistency_Test,batting_consistency_ODM,batting_consistency_ODI,batting_consistency_T20,bowling_form_IT20,bowling_form_MDM,bowling_form_Test,bowling_form_ODM,bowling_form_ODI,bowling_form_T20,Bowling_Adaptability_Score,bowling_consistency_Test,bowling_consistency_MDM,bowling_consistency_ODI,bowling_consistency_ODM,bowling_consistency_IT20,adaptability_ODM,adaptability_Test,adaptability_T20,adaptability_IT20,adaptability_ODI,adaptability_MDM,bowling_ODI,bowling_ODM,bowling_Test,bowling_MDM,bowling_T20,bowling_IT20,fielding_performance_test,fielding_performance_t20,fielding_performance_odi,fielding_performance_odm,fielding_performance_mdm,allround_performance_test,allround_performance_t20,allround_performance_odi,allround_performance_odm,allround_performance_mdm
1962,4db4c8be,,,,,,18.113171220184412,23.958070818490878,,,,,,11.293699196793684,91.48753935642243,,,,,89.87412216453156,81.6899885092677,93.94348678565785,93.94348678565785,100.47868586639927,100.47868586639927,89.85898736019449,23.958070818490878,23.958070818490878,23.958070818490878,23.958070818490878,23.958070818490878,23.958070818490878,81.6899885092677,81.6899885092677,81.6899885092677,81.6899885092677,81.6899885092677,81.6899885092677,0,21,0,0,0,0.0,35.22142857142857,0.0,0.0,0.0
1963,4db71b2e,,,,,,30.234057765558305,63.92443598843639,,,,,,60.13168183675182,,,,,,85.55011107247994,,,,,,,63.92443598843639,63.92443598843639,63.92443598843639,63.92443598843639,63.92443598843639,63.92443598843639,,,,,,,0,9,0,4,0,0.0,49.15151515151516,0.0,65.0,0.0
1964,4dd6a707,,,,,,25.810683701119242,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0.0,9.714285714285714,0.0,0.0,0.0
1965,4de0779a,,,,,,26.971730306986586,39.52541838493241,,,,,,14.644325746649475,,,,,,0.0,,,,,,,39.52541838493241,39.52541838493241,39.52541838493241,39.52541838493241,39.52541838493241,39.52541838493241,,,,,,,0,4,0,0,0,0.0,11.545454545454543,0.0,0.0,0.0
1966,4e017436,,,,,20.230811128324046,,12.146771875049906,,,,,8.003100677892593,,,,,,0.0,,,,,,,,12.146771875049906,12.146771875049906,12.146771875049906,12.146771875049906,12.146771875049906,12.146771875049906,,,,,,,0,0,2,1,0,0.0,0.0,6.090909090909091,7.5,0.0
1967,4e04666c,,,,,,30.77060964137167,45.156903992453934,,,,,,28.459031701156995,,,,,,0.0,,,,,,,45.156903992453934,45.156903992453934,45.156903992453934,45.156903992453934,45.156903992453934,45.156903992453934,,,,,,,0,20,0,0,0,0.0,18.642857142857142,0.0,0.0,0.0
1968,4e18e961,,,,,,45.43442686771159,72.0296715999182,,,,,,33.58290693039827,,,,,,0.0,,,,,,,72.0296715999182,72.0296715999182,72.0296715999182,72.0296715999182,72.0296715999182,72.0296715999182,,,,,,,0,49,0,0,0,0.0,25.78787878787879,0.0,0.0,0.0
1969,4e1b4323,,,,,45.546337396482265,30.832482565709938,37.48796723979855,,,,,11.820276999239075,35.27045575556857,,,,,0.0,0.0,,,,,,,37.48796723979855,37.48796723979855,37.48796723979855,37.48796723979855,37.48796723979855,37.48796723979855,,,,,,,0,1,1,0,0,0.0,21.58333333333333,10.916666666666666,0.0,0.0
1970,4e1c9f6e,,,,,40.21664071332397,25.416459540950985,35.6553717954608,,,,,36.84876275081048,17.005247430075297,,,,83.1433595038665,0.0,0.0,,,,,,,35.6553717954608,35.6553717954608,35.6553717954608,35.6553717954608,35.6553717954608,35.6553717954608,,,,,,,0,11,22,0,0,0.0,38.84615384615385,24.318181818181817,61.0,0.0
1971,4e2def5c,,,,,,4.632264234361772,,,,,,,,,,,,,82.54293713765607,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,35.5,0.0,0.0,0.0
1972,4e3fd330,,,,,,20.84036329757903,31.021532549375603,,,,,,16.010228818765032,,,,,,85.70666212805898,,,,,,,31.021532549375603,31.021532549375603,31.021532549375603,31.021532549375603,31.021532549375603,31.021532549375603,,,,,,,0,5,0,0,0,0.0,28.866666666666667,0.0,0.0,0.0
1973,4e4d2c20,,,,,,8.376737907699056,11.817148451089032,,,,,,4.939597426994184,,,,,,0.0,,,,,,,11.817148451089032,11.817148451089032,11.817148451089032,11.817148451089032,11.817148451089032,11.817148451089032,,,,,,,0,2,0,0,0,0.0,30.5,0.0,0.0,0.0
1974,4e520f6c,,25.892148965302574,,,,23.403519047793694,26.519904229490177,,17.650763943784497,,,,11.425689614718168,,75.49503082632756,,,,83.84565656730253,73.18945968887441,84.16787864220557,84.16787864220557,90.02303541731553,90.02303541731553,80.50840565776186,26.519904229490177,26.519904229490177,26.519904229490177,26.519904229490177,26.519904229490177,26.519904229490177,73.18945968887441,73.18945968887441,73.18945968887441,73.18945968887441,73.18945968887441,73.18945968887441,0,10,0,0,4,0.0,32.04306220095694,0.0,0.0,48.75
1975,4e56e796,,,,,,27.46052789261835,40.06133168428323,,,,,,16.987568962525582,,,,,,0.0,,,,,,,40.06133168428323,40.06133168428323,40.06133168428323,40.06133168428323,40.06133168428323,40.06133168428323,,,,,,,0,12,0,0,0,0.0,11.272727272727272,0.0,0.0,0.0
1976,4e57144f,,,,,,10.187154909338677,,,,,,,,,,,,,87.69367914561302,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0.0,33.33333333333333,0.0,0.0,0.0
1977,4e66ae69,,,,46.50337771105757,,,,,,,,,,,,,81.73134758981992,,,,,,,,,,,,,,,,,,,,,0,0,0,5,0,0.0,0.0,0.0,73.66666666666667,75.58333333333333
1978,4e6d7867,,33.48988627662292,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,11,0.0,0.0,0.0,0.0,23.642857142857142
1979,4e6ef14f,,,,,54.56070854290519,40.46281132683869,52.17815828676811,,,,,61.660190544213364,43.54468783431247,,,,,0.0,0.0,,,,,,,52.17815828676811,52.17815828676811,52.17815828676811,52.17815828676811,52.17815828676811,52.17815828676811,,,,,,,2,71,15,0,0,22.75,27.25263157894737,43.46666666666667,0.0,0.0
