player_id,teams,unlisted_teams
9e432a38,"['UP Nawabs', 'UAE Blues', 'Bangla Tigers', 'Bangla Tigers Mississauga', 'United Arab Emirates']","['UP Nawabs', 'UAE Blues', 'Bangla Tigers', 'Bangla Tigers Mississauga']"
9e52a414,"['Bangladesh', 'Fortune Barishal', 'Dambulla Sixers', 'Bangla Tigers', 'Jaffna Kings', 'Sylhet Strikers', 'Comilla Victorians', 'Rajshahi Division']","['Bangla Tigers', 'Rajshahi Division']"
9e5f4ad7,['South Africa Emerging Players'],['South Africa Emerging Players']
9e6823e7,"['West Indies', 'Trinidad & Tobago']",['Trinidad & Tobago']
9e707e02,"['Wales Minor Counties', 'Glamorgan 2nd XI', 'Glamorgan']","['Wales Minor Counties', 'Glamorgan 2nd XI']"
9e85455c,"['Scarborough', 'Victoria', 'Australia', 'Melbourne Renegades', 'Western Australia', 'Perth Scorchers']",['Scarborough']
9e9af5f2,"['Khulna Tigers', 'Khyber Pakhtunkhwa', 'Fortune Barishal', 'Surrey Jaguars', 'Islamabad United', 'Quetta Gladiators', 'Pakistan']","['Khyber Pakhtunkhwa', 'Surrey Jaguars']"
9eb1455b,"['Hampshire', 'Hobart Hurricanes', 'London Spirit (Men)', 'Australia', 'Punjab Kings', 'Australian Universities', 'Tasmania', 'Randwick-Petersham']","['London Spirit (Men)', 'Australian Universities', 'Randwick-Petersham']"
9eb93832,"['Somerset 2nd XI', 'Middlesex 2nd XI', 'Marylebone Cricket Club Young Cricketers', 'Northamptonshire', 'Northamptonshire 2nd XI', 'Marylebone Cricket Club', 'Gloucestershire 2nd XI']","['Somerset 2nd XI', 'Middlesex 2nd XI', 'Marylebone Cricket Club Young Cricketers', 'Northamptonshire 2nd XI', 'Marylebone Cricket Club', 'Gloucestershire 2nd XI']"
9ec74db8,"['Scotland', 'Durham 2nd XI']",['Durham 2nd XI']
9eea360c,"['Faisalabad Region', 'Port Qasim Authority', 'Faisalabad Wolves', 'Allied Bank', 'Federal Areas Leopards', 'Pakistan', 'Punjab (Pakistan)']","['Faisalabad Region', 'Port Qasim Authority', 'Faisalabad Wolves', 'Allied Bank', 'Federal Areas Leopards', 'Punjab (Pakistan)']"
9ef8ebb9,"['Ringwood', 'Brisbane Heat', 'Victoria', 'Victoria Institute of Sport', 'Queensland']","['Ringwood', 'Victoria Institute of Sport']"
9f0270e0,"['Zimbabwe Select XI', 'Northerns (Zimbabwe)', 'Zimbabwe', 'Mid West Rhinos', 'Zimbabwe Board XI']","['Zimbabwe Select XI', 'Northerns (Zimbabwe)', 'Mid West Rhinos', 'Zimbabwe Board XI']"
9f2aa116,"['Pakistan', 'North Zone (Pakistan)']",['North Zone (Pakistan)']
9f308dfc,"['Namibia', 'Gauteng']",['Gauteng']
9f52b291,"['Sussex 2nd XI', 'Sussex']",['Sussex 2nd XI']
9f701298,"['Cumberland', 'Northamptonshire 2nd XI', 'Derbyshire', 'Derbyshire 2nd XI']","['Cumberland', 'Northamptonshire 2nd XI', 'Derbyshire 2nd XI']"
9f77963a,"['Dubai Capitals', 'Boost Region', 'Bangla Tigers', 'Delhi Capitals', 'Sylhet Strikers', 'Ajman Bolts', 'Durdanto Dhaka', 'Afghanistan']","['Boost Region', 'Bangla Tigers', 'Ajman Bolts']"
9f7932a7,"['Sussex 2nd XI', 'Oxfordshire', 'England', 'Sussex']","['Sussex 2nd XI', 'Oxfordshire']"
9f812582,"['Lincolnshire', 'Loughborough MCCU', 'Birmingham Phoenix (Men)', 'Leicestershire']","['Lincolnshire', 'Loughborough MCCU', 'Birmingham Phoenix (Men)']"
9f86e380,"['New Zealand', 'Auckland', 'Northamptonshire 2nd XI']",['Northamptonshire 2nd XI']
9f961c14,"['Haryana', 'India', 'India Blue', 'Chennai Super Kings']",['India Blue']
9f964d26,['Leinster'],['Leinster']
9f9a728c,"['Singapore', 'Bloomfield Cricket and Athletic Club']",['Bloomfield Cricket and Athletic Club']
9f9b903e,"['Zimbabwe', 'Mid West Rhinos']",['Mid West Rhinos']
9fa1b6cf,"['Orissa', 'Odisha']",['Orissa']
9fa4ff04,"['Bangladesh', 'Dhaka Division']",['Dhaka Division']
9fa54c94,"['Warriors', 'South Africa Academy', 'South Africa', 'Cape Cobras', 'Western Province']",['South Africa Academy']
9fbc7bc4,"['Matabeleland Tuskers', 'Westerns', 'Zimbabwe', 'Zimbabwe XI', 'Zimbabwe Provinces']","['Matabeleland Tuskers', 'Westerns', 'Zimbabwe XI', 'Zimbabwe Provinces']"
9fc73711,"['Queensland Schoolboys', 'Minor Counties', 'Toombul', 'Queensland Academy of Sport', 'South Queensland', 'Queensland', 'Perth Scorchers']","['Queensland Schoolboys', 'Minor Counties', 'Toombul', 'Queensland Academy of Sport', 'South Queensland']"
9fd3a210,"['Zarai Taraqiati Bank Limited', 'Gloucestershire', 'Islamabad United', 'Lahore Qalandars', 'Pakistan']",['Zarai Taraqiati Bank Limited']
9fd83fec,['Hubli Tigers'],['Hubli Tigers']
